Время, сек;Rz_L, Н;Rz_R, Н;Rx, Н
6;21825,7;20646,9;650
6,01;21696,4;20628,5;650
6,02;21911,9;20533,2;650
6,03;21884,3;20610,9;650
6,04;21512,8;20641,5;650
6,05;21586,8;20647,7;650
6,06;21811,2;20602,7;650
6,07;21801,1;20553,7;650
6,08;21655,6;20608,2;650
6,09;21689,5;20636,5;650
6,1;21650,6;20629,3;650
6,11;21696;20605,7;650
6,12;21545,7;20631,3;650
6,13;21836,9;20576;650
6,14;21643,9;20574,2;650
6,15;21881,1;20566,3;650
6,16;21550;20614,7;650
6,17;21470,7;20662,8;650
6,18;21742,8;20612,3;650
6,19;21928,4;20548,5;650
6,2;21778;20578;650
6,21;21630,6;20635,2;650
6,22;21642,6;20660,9;650
6,23;21767,7;20626,9;650
6,24;21872,2;20576,9;650
6,25;21890,4;20604,4;650
6,26;21749,2;20665,2;650
6,27;21720,5;20693,5;650
6,28;21862,3;20638,2;650
6,29;21962,5;20612;650
6,3;21944,1;20630,4;650
6,31;21862,4;20682,7;650
6,32;21823,7;20710,6;650
6,33;21933,8;20661,3;650
6,34;22028,8;20653;650
6,35;22023;20674,4;650
6,36;21935,2;20727;650
6,37;21927,5;20760;650
6,38;21999,7;20718,8;650
6,39;22067,3;20734,3;650
6,4;22062,3;20756,2;650
6,41;21999,3;20740;650
6,42;21972,4;20748,6;650
6,43;21964,1;20761,1;650
6,44;22020,8;20782,4;650
6,45;22038,6;20780,1;650
6,46;22028,2;20801;650
6,47;21998,5;20798,5;650
6,48;21966,3;20805,4;650
6,49;21953,5;20816,4;650
6,5;21943,3;20826,3;650
6,51;21950;20851,7;650
6,52;21943,5;20862,3;650
6,53;21925,5;20870,2;650
6,54;21906,6;20883,1;650
6,55;21882,8;20886,1;650
6,56;21860,5;20897,9;650
6,57;21844,5;20901,4;650
6,58;21827,7;20926,2;650
6,59;21806,2;20921,9;650
6,6;21793,9;20944,6;650
6,61;21776;20953,2;650
6,62;21754;20959;650
6,63;21734,5;20979,9;650
6,64;21714,4;20991,5;650
6,65;21704,2;21001,3;650
6,66;21667,6;21012,2;650
6,67;21642,2;21022,6;650
6,68;21626,4;21019,6;650
6,69;21594,8;21041,1;650
6,7;21589,9;21051,1;650
6,71;21567,9;21066,1;650
6,72;21553,7;21082,2;650
6,73;21539,4;21100,9;650
6,74;21511,3;21111,7;650
6,75;21486,6;21129,3;650
6,76;21463,7;21129,9;650
6,77;21442,5;21147,7;650
6,78;21424,2;21160,3;650
6,79;21401,1;21176,2;650
6,8;21390,3;21190,7;650
6,81;21362,4;21229,7;650
6,82;21355,1;21232;650
6,83;21319,7;21216,9;650
6,84;21322,3;21269,2;650
6,85;21300,6;21307,7;650
6,86;21267,5;21296,8;650
6,87;21289;21355,4;650
6,88;21213,5;21293,4;650
6,89;21250,9;21369,5;650
6,9;21201,6;21381,2;650
6,91;21203,3;21420,3;650
6,92;21179,4;21417,9;650
6,93;21154,3;21439,2;650
6,94;21158,8;21439,4;650
6,95;21109,1;21466,8;650
6,96;21151,8;21522,3;650
6,97;21082,5;21552,1;650
6,98;21124,5;21545,7;650
6,99;21072,6;21561;650
7;21072,1;21597,9;650
7,01;21067,6;21638,9;650
7,02;21041;21645,2;650
7,03;21039,2;21659,5;650
7,04;21026,4;21687,2;650
7,05;21009,8;21714;650
7,06;21005,9;21741,4;650
7,07;20995,3;21754,1;650
7,08;20981;21773,8;650
7,09;20972,6;21802,3;650
7,1;20964,4;21827,4;650
7,11;20948;21858;650
7,12;20945,3;21848;650
7,13;20933;21880,9;650
7,14;20914,1;21894,8;650
7,15;20907,2;21908,4;650
7,16;20895,2;21912,6;650
7,17;20883,6;21936,9;650
7,18;20874,1;21959,1;650
7,19;20861,7;21971,3;650
7,2;20846;21969,9;650
7,21;20839,5;21982,2;650
7,22;20834,2;21998,6;650
7,23;20814,4;22051;650
7,24;20798,3;21897,4;650
7,25;20798,7;22012,7;650
7,26;20796,4;22025,6;650
7,27;20788,9;21892,2;650
7,28;20772,8;21950;650
7,29;20742,6;22085,3;650
7,3;20709,7;22120;650
7,31;20734,3;22003,4;650
7,32;20743,9;21776,9;650
7,33;20740,4;21971,5;650
7,34;20704,2;21933,2;650
7,35;20685,2;22137,7;650
7,36;20707,4;21776;650
7,37;20701,6;21769,9;650
7,38;20668,4;21998,2;650
7,39;20650,3;22034,4;650
7,4;20626,9;21894,9;650
7,41;20651,7;21780,3;650
7,42;20690,3;21579,8;650
7,43;20631,6;21843,7;650
7,44;20599;22213,5;650
7,45;20627,1;21673,1;650
7,46;20699,7;21603,8;650
7,47;20680;21725,8;650
7,48;20603,1;21735,1;650
7,49;20585,3;22074,1;650
7,5;20638,5;21706,6;650
7,51;20702,6;21463,7;650
7,52;20669,1;21499,2;650
7,53;20575;22017,9;650
7,54;20531,6;22103,4;650
7,55;20618,9;21630,3;650
7,56;20731,3;21407,6;650
7,57;20669,8;21491,7;650
7,58;20526,3;22035,8;650
7,59;20556,9;22044,4;650
7,6;20645,4;21542,3;650
7,61;20732;21475,4;650
7,62;20645,1;21607,5;650
7,63;20541,6;21976,1;650
7,64;20564,8;22099;650
7,65;20687,1;21565,1;650
7,66;20740,6;21453,1;650
7,67;20651,1;21673,3;650
7,68;20559,3;22114;650
7,69;20590,2;22022;650
7,7;20731,3;21581,8;650
7,71;20745,4;21524,9;650
7,72;20649,6;21794,3;650
7,73;20591,8;22142,2;650
7,74;20645,5;22026;650
7,75;20759,7;21645,6;650
7,76;20769,6;21574,9;650
7,77;20690,2;21860,9;650
7,78;20631,9;22135,9;650
7,79;20687,3;22046,5;650
7,8;20790,1;21710,9;650
7,81;20825,8;21601,2;650
7,82;20748,3;21856,8;650
7,83;20692,6;22137;650
7,84;20733,5;22049,6;650
7,85;20826;21759,1;650
7,86;20864,4;21649;650
7,87;20814,9;21811;650
7,88;20781,8;22041,4;650
7,89;20790,5;22025,8;650
7,9;20856,9;21844,2;650
7,91;20898,8;21662,4;650
7,92;20896,5;21746,3;650
7,93;20867,6;21923,4;650
7,94;20868,9;21963,4;650
7,95;20909,3;21858,5;650
7,96;20943,7;21670,7;650
7,97;20952,8;21695,1;650
7,98;20948,3;21844,7;650
7,99;20955,2;21877,7;650
8;20981;21781,5;650
8,01;21012,9;21647;650
8,02;21024,2;21646,9;650
